timestamp,open,high,low,close
2020-05-10,1.09045,1.09213,1.07675,1.08395
2020-05-03,1.08272,1.10163,1.08113,1.09596
2020-04-26,1.08635,1.08832,1.07277,1.08237
2020-04-19,1.09195,1.09890,1.08127,1.08670
2020-04-12,1.08019,1.09685,1.07914,1.09327
2020-04-05,1.10284,1.10436,1.07692,1.08070
2020-03-29,1.07647,1.11378,1.07534,1.11391
2020-03-22,1.11633,1.11891,1.06545,1.06944
2020-03-15,1.13974,1.14230,1.10654,1.11554
2020-03-08,1.11443,1.14958,1.10969,1.13860
2020-03-01,1.08491,1.11641,1.08318,1.10513
2020-02-23,1.08370,1.08637,1.07796,1.08390
2020-02-16,1.09123,1.09270,1.08302,1.08418
2020-02-09,1.10629,1.10656,1.09096,1.09493
2020-02-02,1.10197,1.10902,1.09932,1.10898
2020-01-26,1.10964,1.11198,1.10101,1.10254
2020-01-19,1.11345,1.11719,1.10775,1.10946
2020-01-12,1.11958,1.11995,1.10862,1.11167
2020-01-05,1.12045,1.12410,1.11257,1.11620
2019-12-29,1.10930,1.12207,1.10706,1.11823
2019-12-22,1.11371,1.11732,1.10715,1.10798
2019-12-15,1.10645,1.11869,1.10635,1.11245
2019-12-08,1.10760,1.11135,1.10423,1.10589
2019-12-01,1.10120,1.10892,1.09829,1.10190
2019-11-24,1.10722,1.10964,1.10062,1.10226
2019-11-17,1.10349,1.10910,1.09908,1.10551
2019-11-10,1.11283,1.11390,1.10172,1.10224
2019-11-03,1.11025,1.11770,1.10751,1.11666
2019-10-27,1.11520,1.11657,1.10771,1.10843
2019-10-20,1.10258,1.11807,1.09928,1.11557
2019-10-13,1.09727,1.10620,1.09467,1.10300
2019-10-06,1.08992,1.10011,1.08815,1.09866
2019-09-29,1.09937,1.10193,1.08877,1.09427
2019-09-22,1.10040,1.10779,1.09683,1.10190
2019-09-15,1.10473,1.11091,1.09296,1.10834
2019-09-08,1.09673,1.10828,1.09304,1.10206
2019-09-01,1.11011,1.11185,1.09588,1.09918
2019-08-25,1.10825,1.11525,1.10530,1.11431
2019-08-18,1.12183,1.12283,1.10675,1.10939
2019-08-11,1.12427,1.12497,1.11633,1.12085
2019-08-04,1.11422,1.11995,1.10275,1.11080
2019-07-28,1.12050,1.12108,1.11038,1.11321
2019-07-21,1.12609,1.12714,1.12011,1.12183
2019-07-14,1.12148,1.12880,1.11953,1.12721
2019-07-07,1.12871,1.13210,1.12082,1.12274
2019-06-30,1.14002,1.14140,1.13057,1.13649
2019-06-23,1.12271,1.14012,1.11823,1.13847
2019-06-16,1.13184,1.13430,1.12054,1.12170
2019-06-09,1.12456,1.13482,1.12238,1.13202
2019-06-02,1.11936,1.12110,1.11185,1.11741
2019-05-26,1.11694,1.12183,1.11095,1.12096
2019-05-19,1.12324,1.12461,1.11513,1.11653
2019-05-12,1.12045,1.12634,1.11757,1.12365
2019-05-05,1.11842,1.12500,1.11413,1.11858
2019-04-28,1.12589,1.12613,1.11217,1.11503
2019-04-21,1.13044,1.13237,1.12330,1.12445
2019-04-14,1.12564,1.13250,1.12310,1.13051
2019-04-07,1.12060,1.12741,1.11846,1.12196
2019-03-31,1.13145,1.13289,1.12099,1.12238
2019-03-24,1.13356,1.14400,1.12756,1.12959
2019-03-17,1.12589,1.13598,1.12347,1.13198
2019-03-10,1.13383,1.13392,1.11861,1.12324
2019-03-03,1.13662,1.14220,1.13105,1.13759
2019-02-24,1.13121,1.13696,1.12770,1.13422
2019-02-17,1.12803,1.13443,1.12349,1.12980
2019-02-10,1.14358,1.14430,1.12735,1.13243
2019-02-03,1.14298,1.15137,1.14086,1.14553
2019-01-27,1.13696,1.14456,1.13058,1.14131
2019-01-20,1.14732,1.14916,1.13542,1.13656
2019-01-13,1.14793,1.15714,1.14247,1.14601
2019-01-06,1.14942,1.15500,1.13173,1.14104
2018-12-30,1.14051,1.14732,1.13591,1.14400
2018-12-23,1.13500,1.14849,1.13386,1.13728
2018-12-16,1.13550,1.13994,1.12708,1.13060
2018-12-09,1.13559,1.14456,1.13150,1.14010
2018-12-02,1.13343,1.14015,1.12677,1.13422
2018-11-25,1.14548,1.14728,1.13273,1.13373
2018-11-18,1.12241,1.14629,1.12232,1.14140
2018-11-11,1.14086,1.14999,1.12416,1.13250
2018-11-04,1.13751,1.14554,1.13117,1.13976
2018-10-28,1.14647,1.14898,1.13362,1.13987
2018-10-21,1.15833,1.16201,1.14337,1.15095
2018-10-14,1.14946,1.16095,1.14333,1.15514
2018-10-07,1.15776,1.15933,1.14609,1.15226
2018-09-30,1.17532,1.17925,1.15651,1.16054
2018-09-23,1.16692,1.18150,1.16534,1.17510
2018-09-16,1.15934,1.17213,1.15668,1.16290
2018-09-09,1.16131,1.16562,1.15276,1.15611
2018-09-02,1.16835,1.17330,1.15910,1.16011
2018-08-26,1.14891,1.16809,1.14866,1.16489
2018-08-19,1.13985,1.14494,1.13022,1.14377
2018-08-12,1.15575,1.16293,1.13660,1.13947
2018-08-05,1.17086,1.17481,1.15310,1.15623
2018-07-29,1.16986,1.17431,1.16237,1.16604
2018-07-22,1.17106,1.17509,1.15759,1.17419
2018-07-15,1.17575,1.17629,1.16145,1.16791
2018-07-08,1.16408,1.17908,1.16226,1.17523
2018-07-01,1.17018,1.17206,1.15280,1.16786
2018-06-24,1.16301,1.17000,1.15141,1.16614
2018-06-17,1.17733,1.18416,1.15453,1.15959
2018-06-10,1.17018,1.18410,1.16553,1.17840
2018-06-03,1.16275,1.17443,1.15144,1.16686
2018-05-27,1.17888,1.18282,1.16085,1.16889
2018-05-20,1.19320,1.19403,1.17187,1.17666
2018-05-13,1.19326,1.19970,1.18236,1.19521
2018-05-06,1.20831,1.20846,1.18995,1.19550
2018-04-29,1.22112,1.22362,1.20560,1.21228
2018-04-22,1.23847,1.24150,1.22123,1.22734
2018-04-15,1.23222,1.23940,1.23004,1.23326
2018-04-08,1.22933,1.23370,1.22181,1.22714
2018-04-01,1.24550,1.24782,1.22838,1.23142
2018-03-25,1.23381,1.24490,1.22470,1.23544
2018-03-18,1.23387,1.24162,1.22605,1.22808
2018-03-11,1.23378,1.24448,1.22755,1.23087
2018-03-04,1.23160,1.23483,1.21580,1.23154
2018-02-25,1.23991,1.24091,1.22617,1.22871
2018-02-18,1.23012,1.25581,1.22785,1.24119
2018-02-11,1.23683,1.24285,1.22166,1.22528
2018-02-04,1.23818,1.25180,1.23368,1.24469
2018-01-28,1.22573,1.25299,1.22236,1.24281
2018-01-21,1.22699,1.23215,1.21751,1.22555
2018-01-14,1.19696,1.22990,1.19180,1.21923
2018-01-07,1.20109,1.20919,1.19597,1.20375
2017-12-31,1.18713,1.20228,1.18475,1.20050
2017-12-24,1.17829,1.19012,1.17770,1.18561
2017-12-17,1.17772,1.18599,1.17189,1.17436
2017-12-10,1.18686,1.18793,1.17319,1.17700
2017-12-03,1.19040,1.19399,1.18150,1.18599
2017-11-26,1.17387,1.19604,1.17155,1.19265
2017-11-19,1.16649,1.18594,1.16633,1.17319
2017-11-12,1.16118,1.16752,1.15559,1.16611
2017-11-05,1.16498,1.16873,1.15828,1.16149
2017-10-29,1.17553,1.18356,1.15759,1.16046
2017-10-22,1.17951,1.18580,1.17323,1.17536
2017-10-15,1.17419,1.18807,1.17419,1.18141
2017-10-08,1.17332,1.17867,1.16713,1.17425
2017-10-01,1.18556,1.18638,1.17192,1.18074
2017-09-24,1.19617,1.20192,1.18518,1.19272
2017-09-17,1.19586,1.19960,1.18457,1.19372
2017-09-10,1.18944,1.20934,1.18704,1.20176
2017-09-03,1.19652,1.20670,1.18244,1.18828
2017-08-27,1.18118,1.19761,1.17436,1.19519
2017-08-20,1.17770,1.18247,1.16670,1.17563
2017-08-13,1.18003,1.18400,1.16924,1.18255
2017-08-06,1.18236,1.18948,1.17369,1.17784
2017-07-30,1.16389,1.18247,1.16158,1.17473
2017-07-23,1.14734,1.16817,1.14724,1.16817
2017-07-16,1.13753,1.14910,1.13150,1.14754
2017-07-02,1.11807,1.14450,1.11806,1.14231
2017-06-25,1.11447,1.12187,1.11209,1.11988
2017-06-18,1.11991,1.12951,1.11336,1.12082
2017-06-11,1.12582,1.12799,1.11678,1.12020
2017-06-04,1.11294,1.12815,1.11107,1.12808
2017-05-28,1.12371,1.12667,1.11630,1.11761
2017-05-21,1.09807,1.12633,1.09796,1.12049
2017-05-14,1.09273,1.09900,1.08400,1.09273
2017-05-07,1.09096,1.09999,1.08763,1.09651
2017-04-30,1.08677,1.09507,1.08520,1.09075
2017-04-23,1.06438,1.08780,1.06380,1.08739
2017-04-16,1.05978,1.06781,1.05792,1.06105
2017-04-09,1.06702,1.06891,1.05704,1.05820
2017-04-02,1.08627,1.08743,1.06437,1.06688
2017-03-26,1.07368,1.09049,1.07368,1.08495
2017-03-19,1.06520,1.07830,1.06105,1.07430
2017-03-12,1.05812,1.07158,1.05256,1.06900
2017-03-05,1.05828,1.06381,1.05004,1.06204
2017-02-26,1.06103,1.06181,1.04968,1.05527
2017-02-19,1.05992,1.06769,1.05221,1.06266
2017-02-12,1.07432,1.07435,1.05934,1.06195
2017-02-05,1.07071,1.08266,1.06860,1.07830
2017-01-29,1.07576,1.07728,1.06209,1.07140
2017-01-22,1.06039,1.07562,1.05897,1.07137
2017-01-15,1.05876,1.06860,1.04570,1.06287
2017-01-08,1.04592,1.06089,1.03477,1.05319
2017-01-01,1.04558,1.05910,1.03875,1.05270
2016-12-25,1.04048,1.04976,1.03552,1.04548
2016-12-18,1.06428,1.06667,1.04037,1.04500
2016-12-11,1.07585,1.08566,1.05274,1.05474
2016-12-04,1.06202,1.07411,1.05418,1.05820
2016-11-27,1.06387,1.06849,1.05225,1.06123
2016-11-20,1.07469,1.08167,1.05731,1.05842
2016-11-13,1.10505,1.13020,1.07108,1.08248
2016-11-06,1.09733,1.11284,1.09618,1.11012
2016-10-30,1.08755,1.09842,1.08534,1.09847
2016-10-23,1.10120,1.10290,1.08605,1.08826
2016-10-16,1.11433,1.11433,1.09653,1.09678
2016-10-09,1.12133,1.12500,1.11060,1.11970
2016-10-02,1.12508,1.12600,1.11540,1.12347
2016-09-25,1.11794,1.12790,1.11260,1.12392
2016-09-18,1.12413,1.12816,1.11540,1.11585
2016-09-11,1.11520,1.13300,1.11445,1.12411
2016-09-04,1.11919,1.12511,1.11260,1.11620
2016-08-28,1.13186,1.13572,1.11607,1.11995
2016-08-21,1.11844,1.13520,1.11794,1.12982
2016-08-14,1.10868,1.12200,1.10720,1.11669
2016-08-07,1.11671,1.12320,1.10491,1.10895
2016-07-31,1.09899,1.11960,1.09800,1.11681
2016-07-24,1.10714,1.10807,1.09536,1.09705
2016-07-17,1.10580,1.11700,1.10383,1.10531
2016-07-10,1.11455,1.11800,1.10100,1.10440
2016-07-03,1.10160,1.11700,1.10160,1.11310
2016-06-26,1.13228,1.14220,1.09191,1.10359
2016-06-19,1.12880,1.13840,1.11320,1.13491
2016-06-12,1.13647,1.14200,1.12370,1.12400
2016-06-05,1.11500,1.13800,1.11170,1.13510
2016-05-29,1.12170,1.12300,1.11000,1.11100
2016-05-22,1.13161,1.13480,1.11820,1.12217
2016-05-15,1.13837,1.14460,1.12840,1.13169
2016-05-08,1.15261,1.16140,1.13760,1.13880
2016-05-01,1.12667,1.15280,1.12580,1.14630
2016-04-24,1.13100,1.13940,1.12270,1.12341
2016-04-17,1.14121,1.14640,1.12360,1.13000
2016-04-10,1.13871,1.14531,1.13314,1.14030
2016-04-03,1.12010,1.14380,1.11700,1.13900
2016-03-27,1.12370,1.12620,1.11496,1.11600
2016-03-20,1.11020,1.13440,1.10580,1.12790
2016-03-13,1.10139,1.12100,1.08277,1.11679
2016-03-06,1.08870,1.10400,1.08260,1.09940
2016-02-28,1.10271,1.10700,1.08640,1.09240
2016-02-21,1.11782,1.11920,1.10060,1.11240
2016-02-14,1.11909,1.13680,1.11300,1.12260
2016-02-07,1.08990,1.12380,1.08953,1.11450
2016-01-31,1.08538,1.09500,1.08200,1.08259
2016-01-24,1.08950,1.09760,1.07820,1.07990
2016-01-17,1.08589,1.09820,1.08060,1.09200
2016-01-10,1.08260,1.09459,1.07120,1.09410
2016-01-03,1.09770,1.10000,1.08060,1.08540
2015-12-27,1.09120,1.10000,1.08849,1.09660
2015-12-20,1.09923,1.10700,1.08060,1.08699
2015-12-13,1.08360,1.10400,1.08314,1.09839
2015-12-06,1.05730,1.09519,1.05420,1.08840
2015-11-29,1.06390,1.06900,1.05640,1.05830
2015-11-22,1.06890,1.07340,1.06030,1.06410
2015-11-15,1.07597,1.08110,1.06760,1.07000
2015-11-08,1.10170,1.10320,1.07117,1.07334
2015-11-01,1.10610,1.11000,1.09100,1.10260
2015-10-25,1.13320,1.13900,1.10060,1.10204
2015-10-18,1.13540,1.14942,1.13085,1.13610
2015-10-11,1.11980,1.14000,1.11761,1.13700
2015-10-04,1.12336,1.13153,1.11390,1.12270
2015-09-27,1.11909,1.12961,1.11068,1.12017
2015-09-20,1.13109,1.14600,1.11839,1.12920
